Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
Global Baseline,1348902,36172699,n/a,65.89,0.9859638725422604,147696,158624,n/a,100,1.2,10.95,8062,n/a,100,26.816402525906256,9.84,1.88,9930,n/a,38.599791534522154,0.0,,84661,25335,n/a,0,1.0,236163,n/a,40234,0.0,4323,17.51,n/a,1009798,42986,478296,55971,628963,227554,1190278,161774,11.76,142174,0.6,47.37,0.74,22.53,6.28,16.02,2.98,14.08,0.32,3.19,16194,132699,4.15,0,88.24
Baseline for All Items,1168416,35961668,n/a,73.7,1.0506068413989538,147696,154292,n/a,n/a,1.29,12.64,7787,n/a,n/a,30.778137238791665,10.79,2.17,9871,100,42.891582881696245,0.0,,81422,25335,100,0,1.1477355028907452,236163,n/a,39760,0.0,4264,20.21,n/a,903907,42295,444527,55212,625227,209460,1014124,144420,13.21,105500,0.67,49.18,0.84,23.17,6.97,15.98,3.4,11.67,0.36,3.62,15043,126016,4.73,0,86.79
USA,435825,17450068,1,70.58,1.3536332784948089,67767,62412,0.0,32.30961181761165,1.91,15.55,1722,0.0,48.24098970331188,40.03916250788734,14.09,2.97,5426,37.30049913729357,45.14085334182298,0.0,Country/Region,31410,12941,48.524078471554766,0,1.4930847815700523,88702,n/a,15628,0.0,1902,20.35,n/a,338463,18291,205176,23854,338085,67682,373413,42066,14.32,23539,0.4,60.62,1.24,20.0,7.21,12.43,3.59,6.95,0.44,4.2,8307,61416,5.47,0,85.68
UNITED KINGDOM,116683,4284651,2,72.85,1.2263892632174354,28657,19333,0.0,8.650220698019574,1.62,24.56,404,0.0,11.84498563405512,36.720439138520604,12.6,2.69,832,9.98642606742804,45.18342224831381,0.0,Country/Region,11569,3133,11.91449462244076,0,1.369327563719498,15932,n/a,4278,0.0,1181,13.65,n/a,93142,6843,50199,6528,59226,23683,97350,12252,16.57,7008,0.35,53.9,0.71,25.43,9.91,13.15,3.67,7.52,1.01,5.86,1896,14701,5.59,0,83.43
ENGLAND,99285,3721064,3,73.01,1.2423916069899785,24519,16722,0.0,7.360430928266101,1.66,24.7,347,0.0,10.286940435381945,37.478612076345875,12.85,2.95,707,8.497401610385342,45.47718923200887,0.0,Country/Region,9979,2925,10.347306470878937,0,1.3976002948247546,14489,n/a,3747,0.0,977,14.59,n/a,79590,5994,43221,5689,52269,20113,82563,10315,16.84,5941,0.35,54.3,0.71,25.27,10.05,12.96,3.77,7.46,0.98,6.04,1648,12754,5.73,0,83.16
GERMANY (FED REP GER),92369,3173041,4,78.27,1.0686954681765528,28463,13116,0.0,6.8477176251499365,1.31,30.81,357,0.0,8.771922161517447,34.35179551581158,11.47,3.07,681,7.905489140853943,45.4009012190237,0.0,Country/Region,6372,2840,8.82339773561115,0,1.2809993988800579,11838,n/a,4416,0.0,358,12.82,n/a,73579,3463,35311,5706,58528,16481,79253,12665,14.2,9122,0.39,47.99,0.74,22.4,6.9,17.21,4.78,12.4,0.39,3.75,1212,10599,6.18,0,85.8
JAPAN,95762,2624116,5,81.12,0.8372622188341932,15107,16101,0.0,7.099255542656175,0.85,15.78,1041,0.0,7.254410294349338,27.40247697416512,8.44,5.05,951,8.195882288499986,43.47349693824273,0.0,Country/Region,10504,4834,7.296980774084227,0,1.0218550735018495,24743,n/a,2604,0.0,102,25.84,n/a,76279,2873,35733,3605,56671,20515,79661,12939,16.81,7092,1.09,46.85,0.99,26.89,10.97,16.96,2.72,9.3,0.11,3.0,813,8078,3.76,0,83.19
FRANCE,64294,2234399,6,80.19,1.0257631178648086,21258,10719,0.0,4.7663951866036225,1.23,33.06,360,0.0,6.1770314678481695,34.75283852303481,11.14,3.17,636,5.502663434940979,46.207081654586744,0.0,Country/Region,5359,2040,6.21327965098838,0,1.2959545371330656,12132,n/a,3765,0.0,171,18.87,n/a,51770,2833,24999,4364,29590,11486,53575,8097,16.67,7188,0.56,48.29,0.99,22.19,8.34,15.64,5.86,13.88,0.27,4.41,788,7165,6.79,0,83.33
CANADA,50943,1958317,7,75.68,1.2169924817933768,14769,7234,0.0,3.7766272123549376,1.53,28.99,244,0.0,5.413798400832627,38.44133639557937,12.87,2.37,544,4.360005340563635,46.75738362876156,0.0,Country/Region,4061,1209,5.44556776398692,0,1.4335008716565443,7173,n/a,1881,0.0,127,14.08,n/a,40467,1853,22043,2385,25985,9644,43709,5849,14.2,2931,0.48,54.47,1.07,23.83,7.97,14.45,3.69,7.24,0.25,3.64,780,6555,4.68,0,85.8
ITALY,44078,1410805,8,80.0,1.0275337628749037,13023,6914,0.0,3.2676947621102204,1.15,29.55,148,0.0,3.9001927945713977,32.00701029992286,10.77,2.2,277,3.772457754772273,46.54987596760289,0.0,Country/Region,3503,968,3.923079986167494,0,1.1935609285772828,10512,n/a,2461,0.0,121,23.85,n/a,35498,1696,17968,2986,21110,9047,37164,5499,15.69,2984,0.34,50.62,0.63,25.49,7.95,15.49,5.58,8.41,0.27,3.85,506,4746,6.77,0,84.31
